RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
129,Jose Quintana,CHC,30,29,162.2,174,88,79,44,144,13,8,0,0,1.9,1.34,4.37
231,Jose Suarez,LAA,16,14,71.1,88,58,55,29,61,2,6,0,0,-0.9,1.64,6.94
181,Jose Urena,MIA,19,13,79.2,92,48,44,25,55,4,9,2,1,0.1,1.47,4.97
18,Josh Hader,MIL,56,0,70.0,36,23,21,19,129,3,5,33,6,2.3,0.79,2.70
163,Josh Osich,CHW,52,0,62.2,59,36,33,15,55,3,0,0,1,0.4,1.18,4.74
89,Josh Tomlin,ATL,47,0,73.1,74,34,32,7,46,2,1,2,2,0.9,1.10,3.93
57,Julio Teheran,ATL,31,31,167.1,139,71,65,80,155,10,9,0,0,3.4,1.31,3.50
16,Julio Urias,LAD,31,8,74.0,57,28,22,24,77,4,3,4,1,1.0,1.09,2.68
67,Junior Guerra,MIL,67,0,78.0,51,34,32,35,74,9,5,3,8,1.1,1.10,3.69
12,Justin Verlander,HOU,31,31,206.0,123,61,59,38,275,18,6,0,0,7.4,0.78,2.58
98,Kenta Maeda,LAD,31,26,147.2,110,67,66,49,161,9,8,2,0,1.3,1.08,4.02
215,Kevin Gausman,ATL/CIN,27,16,95.2,107,68,62,30,107,3,8,0,0,-0.8,1.43,5.83
232,Kyle Freeland,COL,20,20,99.1,120,84,77,38,78,3,11,0,0,-0.8,1.59,6.98
167,Kyle Gibson,MIN,30,28,155.0,167,95,82,50,151,13,7,0,1,0.3,1.40,4.76
40,Kyle Hendricks,CHC,28,28,165.2,154,68,60,31,139,11,9,0,0,4.1,1.12,3.26
72,Lance Lynn,TEX,30,30,188.2,179,82,78,56,216,14,10,0,0,6.5,1.25,3.72
1,Liam Hendriks,OAK,69,2,79.1,56,14,14,21,115,4,2,22,5,3.6,0.97,1.59
193,Lou Trivino,OAK,61,0,60.0,61,40,35,31,57,4,6,0,5,-0.9,1.53,5.25
54,Lucas Giolito,CHW,29,29,176.2,131,69,67,57,228,14,9,0,0,5.8,1.06,3.41
38,Luis Castillo,CIN,30,30,178.2,131,68,64,72,211,15,6,0,0,4.8,1.14,3.22
69,Luis Cessa,NYY,39,0,77.2,71,37,32,25,71,2,1,1,0,0.6,1.24,3.71
68,Luis Perdomo,SD,41,1,65.2,63,28,27,15,51,2,3,0,1,0.7,1.19,3.70
 ,Luke Jackson,ATL,65,0,67.2,71,32,29,25,95,8,2,18,7,0.6,1.42,3.86
28,Luke Weaver,ARI,11,11,62.1,55,22,21,14,68,4,3,0,0,1.7,1.11,3.03
73,Madison Bumgarner,SF,32,32,195.2,176,90,81,39,187,9,8,0,0,2.7,1.10,3.73
128,Marco Gonzales,SEA,31,31,182.0,196,103,87,51,135,15,11,0,0,2.3,1.36,4.30
45,Marcus Stroman,TOR/NYM,29,29,166.2,170,73,62,53,142,8,13,0,0,3.6,1.34,3.35
52,Marcus Walden,BOS,65,0,74.0,54,33,28,29,72,9,2,2,3,1.4,1.12,3.41
88,Mark Melancon,ATL/SF,61,0,62.0,68,28,27,18,64,5,2,11,0,0.6,1.39,3.92
174,Martin Perez,MIN,29,26,152.2,161,93,83,64,125,10,7,0,0,0.3,1.47,4.89
150,Masahiro Tanaka,NYY,30,30,172.0,178,92,88,39,141,10,8,0,0,1.4,1.26,4.60
 ,Matt Andriese,ARI,50,0,64.0,64,33,33,24,69,5,4,1,1,0.2,1.38,4.64
162,Matt Strahm,SD,39,16,108.2,113,58,57,22,111,5,8,0,1,0.7,1.24,4.72
141,Matthew Boyd,DET,30,30,176.1,164,94,89,47,228,8,11,0,0,3.5,1.20,4.54
121,Max Fried,ATL,31,29,156.2,168,80,74,46,166,16,6,0,0,2.2,1.37,4.25
15,Max Scherzer,WSH,25,25,159.2,132,50,47,32,222,10,6,0,0,5.9,1.03,2.65
