RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Daniel Robertson,TB,1,0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.00,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Danny Hultzen,CHC,2,0,2.0,1,0,0,0,3,0,0,0,0,0.1,0.50,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
